variant,valid_json_rate,company_accuracy,address_similarity,date_accuracy,total_accuracy,complete_record_normalized_exact_match,macro_normalized_exact_match,macro_normalized_similarity,invalid_json_count,generation_limit_hit_count,repetition_failure_count,average_inference_latency_seconds,median_inference_latency_seconds,peak_gpu_memory_mib,average_visual_tile_count
baseline_512_128,0.8666666666666667,0.2,0.5390991054874331,0.16666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.6168744343505456,4,4,4,6.578270536657268,6.797008299967274,653.1025390625,1.0
token_control_512_256,0.9,0.2,0.5488288352171629,0.16666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.6366553516314628,3,3,4,7.298491003333281,6.101658699975815,653.1025390625,1.0
highres_1024_256,0.8666666666666667,0.3333333333333333,0.6293478412490081,0.6,0.23333333333333334,0.06666666666666667,0.31666666666666665,0.6750167233604212,4,4,5,9.464681679999922,8.157375150069129,1197.048828125,3.933333333333333
highres_1536_256,0.9333333333333333,0.3333333333333333,0.7815875246459207,0.6333333333333333,0.3333333333333333,0.06666666666666667,0.36666666666666664,0.7613483335954606,2,2,2,17.590502120003414,16.284271400014404,1876.3046875,7.3
default_2048_256,0.9666666666666667,0.36666666666666664,0.8151886100533212,0.7333333333333333,0.5333333333333333,0.1,0.44999999999999996,0.8042595011853275,1,1,3,7.628224639994247,7.039739000028931,2284.93603515625,10.866666666666667
default_2048_256_rep1p08,1.0,0.4,0.8267875281273627,0.7666666666666667,0.5333333333333333,0.06666666666666667,0.45833333333333337,0.8310434738972915,0,0,0,7.605910480003028,6.872965249989647,2284.93603515625,10.866666666666667
two_pass_2048_256,1.0,0.16666666666666666,0.28803126337979623,0.8333333333333334,0.43333333333333335,0.0,0.35833333333333334,0.551610581123051,0,0,1,19.199855313341445,18.4942066000076,4597.828125,41.0
