variant,valid_json_rate,company_accuracy,address_similarity,date_accuracy,total_accuracy,complete_record_normalized_exact_match,macro_normalized_exact_match,macro_normalized_similarity,invalid_json_count,generation_limit_hit_count,repetition_failure_count,average_inference_latency_seconds,median_inference_latency_seconds,peak_gpu_memory_mib,average_visual_tile_count
base,0.4146341463414634,0.08130081300813008,0.12235594532534275,0.15447154471544716,0.0040650406504065045,0.0,0.06199186991869919,0.13933772494050306,144,122,48,21.275045210981602,11.786067400011234,1865.8984375,7.487804878048781
v1,0.983739837398374,0.524390243902439,0.8216299475081107,0.6341463414634146,0.43902439024390244,0.04065040650406504,0.43902439024390244,0.8013466629699288,4,0,0,9.945263275205123,10.265816600003745,1876.5546875,7.487804878048781
v2,0.991869918699187,0.6910569105691057,0.9068344558626299,0.8577235772357723,0.6463414634146342,0.18292682926829268,0.6331300813008129,0.8992459221173932,2,0,1,12.455074417883742,10.738823599996977,1876.5546875,7.487804878048781
